Smile,id
CO[C@H](C=C(C)C)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3C=C[C@@]45OC[C@]3(CC[C@]12C)[C@@H]4CC[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]1O)C5(C)C,LTS0257199
CC(=O)OC1C(OC2C(OC3CC(O)CC4=CCC5C6CC7OC8(CCC(C)CO8)C(C)C7C6(C)CCC5C43C)OC(C)C(O)C2OC2OCC(O)C(O)C2O)OC(C)C(O)C1O,LTS0124597
C[C@H](CO)[C@H]1OC(=O)C=C2C1=C[C@H]1OC(=O)[C@]3(C)[C@H]1[C@]2(C)[C@@H](Cl)[C@H](O)[C@@H]3O,LTS0121510
CS(=O)(=O)C=CCO,LTS0110032
COc1cccc2c1C(=O)O[C@H](CCC[C@H](C)O)C2,LTS0103990
CC1C(=O)OC2(C)C1C(=O)OC1CCN3CC=C(COC(=O)C2(C)O)C13,LTS0116501
CC1=CC(=O)[C@H](O)[C@@]2(C)C[C@H]3OC(=O)C(C)=C3C[C@H]12,LTS0256634
CCCCCCCCCCCC[C@H](O)[C@H]1CC[C@@H]([C@H](O)CCCC[C@H](O)CCCCC[C@@H]2C[C@@H](CC(C)=O)C(=O)O2)O1,LTS0039360
C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@@]32C)O[C@]12CC[C@@H](C)CO2,LTS0120344
CC(C)CCCC(O)CCC(O)CC(=O)O,LTS0126799
CC1(C)C[C@@H]2C(=O)[C@@H]3C[C@H]3[C@](C)(O)CC[C@H]21,LTS0047914
C=C(C)[C@@H]1CCC(C)=CCC/C(C)=C/C(=O)C[C@@]2(C)O[C@@H]2C1,LTS0023325
CO[C@@H]1O[C@@]2(OC)C[C@@](C)(O)[C@H]3C[C@@]4(C)CC[C@H]([C@@H](C)/C=C\C=C(C)C)[C@@H]4CC=C1[C@H]32,LTS0263149
C=C1CO[C@@]2(O)[C@H]1C[C@@]1(C)[C@@H](CC[C@@H](OC(=O)/C=C/C=C(C)/C=C/CCCCC)[C@@H]1C)[C@@H]2O,LTS0051701
CC(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C)CO[C@H]3[C@@H](OC(=O)c4ccccc4)[C@@]4(C)C5=C(C)[C@H](c6ccoc6)C[C@@H]5O[C@@H](O)C[C@@H]4[C@]1(C)[C@@H]32,LTS0231019
COc1c(CC=C(C)C)c2c(c(O)c1C(C)=O)C[C@H](C(C)(C)O)O2,LTS0104082
CC(=O)OC/C(C#CC1CO1)=C1\C=CC(=O)O1,LTS0090146
COc1cc2c(c(O)c1C(=O)C[C@H](O)c1ccccc1)C=CC(C)(C)O2,LTS0120809
O=C/C=C/c1ccc2c(c1)[C@H](CO)[C@@H](c1ccc(O)cc1)O2,LTS0256604
COC(=O)c1c2c(c3ccccc3c1O)O[C@]13[C@H]2Oc2c(c(C(=O)OC)c(O)c4ccccc24)[C@H]1C(=O)OC3(C)C,LTS0043466
COc1cc(CC2COCC2C(O)c2ccc(O)c(OC)c2)ccc1O,LTS0263062
COC(=O)C=CC(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=O,LTS0042912
C=C1C[C@](OC)([C@H](O)C(O)=NC[C@H]2O[C@H](CO)C(C)(C)[C@H](O)[C@H]2O)O[C@H](C)[C@@H]1C,LTS0124562
