Name,Smile,CAS Number,Type,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Methyl acetate,CC(=O)OC,79-20-9,Biofuel,9.590277778,-0.24537037,9.590277778,0.24537037,0.382966591,74.079,68.031,74.03677943,30,0,0.301847167,-0.469198107,0.469198107,0.301847167,1.8,2,2,16.52202262,10.83375031,1.752248096,-1.80430661,1.598586266,-1.881194838,5.650646147,-0.137450045,2.847378923,40.15772188,4.28445705,3.316496581,3.316496581,2.27005561,1.316496581,1.316496581,0.695705769,0.695705769,0.287457479,0.287457479,0,0,-0.53,9.651484454,4.47,1.758184438,3.47,30.74420259,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,0,0,6.9237372,7.109797541,9.531400138,5.969305288,0,0,0,6.9237372,7.109797541,0,0,0,0,0,0,0,13.07910283,9.531400138,0,6.9237372,0,0,0,0,26.3,0,4.794537184,0,5.969305288,0,0,14.03353474,0,0,4.736862954,0,4.111111111,0,9.590277778,0,0,-0.24537037,0,0,1.361111111,1.349537037,0.666666667,5,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0.1793,17.69,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O-Xylene,CC1=CC=CC=C1C,95-47-6,Biofuel,2.12037037,1.368055556,2.12037037,1.368055556,0.475757685,106.168,96.088,106.0782503,42,0,-0.039511492,-0.061985192,0.061985192,0.039511492,0.875,1.25,1.5,13.89538834,10.13197218,1.833370249,-1.930148756,2.021054566,-1.74333603,5.227784798,1.342538973,3.134861511,156.1481139,5.983127663,5.309401077,5.309401077,3.804530453,2.827350269,2.827350269,2.084258917,2.084258917,1.425569669,1.425569669,0.662677957,0.662677957,-0.78,72.49526583,5.358504155,1.993744712,0.890007391,50.16128735,0,0,0,0,0,0,0,0,0,0,24.26546827,24.97437738,0,0,0,0,0,0,0,13.8474744,0,35.39237126,0,0,0,0,0,0,0,0,13.8474744,11.12690298,24.26546827,0,0,0,0,0,0,0,0,0,0,11.12690298,0,0,38.11294267,0,0,0,0,0,2.736111111,0,8.356481481,0,4.240740741,0,0.25,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2.30344,35.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethyl acetate,CCOC(=O)C,141-78-6,Biofuel,9.821527778,-0.210648148,9.821527778,0.210648148,0.437850878,88.106,80.042,88.0524295,36,0,0.302112778,-0.46617189,0.46617189,0.302112778,1.833333333,2.333333333,2.333333333,16.53089092,10.76990205,1.811567192,-1.88976749,1.691397378,-1.948517209,5.652796097,-0.139887661,2.83125711,49.509775,4.991563832,4.023603362,4.023603362,2.77005561,1.904030206,1.904030206,0.924594326,0.924594326,0.3476007,0.3476007,0.203263132,0.203263132,-0.53,14.83446686,5.47,2.693713647,3.47,37.1091447,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,0,6.9237372,6.9237372,6.606881965,9.531400138,5.969305288,0,0,0,13.8474744,6.606881965,0,0,0,0,0,0,0,12.57618725,9.531400138,0,13.8474744,0,0,0,0,26.3,0,4.794537184,0,5.969305288,6.606881965,0,6.9237372,6.9237372,0,4.736862954,0,4.402777778,0,9.821527778,0,0,-0.210648148,0,0,3.653009259,0,0.75,6,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0.5694,22.307,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethyl butyrate,CCCC(=O)OCC,105-54-4,Biofuel,10.42083333,-0.087962963,10.42083333,0.087962963,0.520098668,116.16,104.064,116.0837296,48,0,0.305256806,-0.465969335,0.465969335,0.305256806,1.5,2.125,2.5,16.53178075,10.34407358,1.948338032,-1.958031775,1.886098828,-2.013585663,5.685956047,-0.142615289,3.055172204,60.92878689,6.405777394,5.437816924,5.437816924,3.808060412,2.964690378,2.964690378,1.55502117,1.55502117,0.75944935,0.75944935,0.437280567,0.437280567,-0.53,50.25226451,7.47,4.624559505,3.652815356,49.83902893,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,6.9237372,13.34455882,6.420821623,6.606881965,9.531400138,5.969305288,0,0,0,26.68911765,6.606881965,0,0,0,0,0,0,0,12.57618725,9.531400138,0,26.68911765,0,0,0,0,26.3,0,4.794537184,0,5.969305288,13.02770359,6.420821623,0,0,13.8474744,4.736862954,0,4.643333333,0,10.42083333,0,0,-0.087962963,0,1.423287037,4.267175926,0,0.833333333,8,0,2,0,0,0,0,0,0,2,0,2,3,0,0,0,0,1.3496,31.541,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propylbenzene,CCCC1=CC=CC=C1,103-65-1,Biofuel,2.201388889,1.209166667,2.201388889,1.209166667,0.56249167,120.195,108.099,120.0939004,48,0,-0.028149798,-0.065065438,0.065065438,0.028149798,1.111111111,1.777777778,2.333333333,13.9003054,10.12769108,1.840213419,-1.932640245,1.999513259,-1.783584189,5.137484571,0.921838868,2.61489994,152.9490958,6.527097737,5.800964908,5.800964908,4.431851653,3.471343774,3.471343774,2.23559856,2.23559856,1.381499797,1.381499797,0.933352372,0.933352372,-0.78,145.1665367,6.341654501,3.285913486,1.883546785,56.52622946,0,0,0,0,0,0,0,0,0,0,43.67639416,11.98427311,0,0,0,0,0,0,0,19.76538045,0,35.89528683,0,0,0,0,0,0,0,6.420821623,0,18.90801031,30.33183534,0,0,0,0,0,0,0,0,0,0,18.40509474,0,0,37.25557254,0,0,0,0,0,1.444444444,0,10.57157407,2.449259259,2.201388889,0,0.333333333,9,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,2.6391,40.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl 2-methylbutanoate,CCC(C)C(=O)OC,868-57-5,Biofuel,10.52060185,-0.118055556,10.52060185,0.055555556,0.506664867,116.16,104.064,116.0837296,48,0,0.307856514,-0.468799599,0.468799599,0.307856514,1.75,2.25,2.375,16.52387706,10.12536393,2.076800477,-2.022705596,2.003113178,-2.102349572,5.710824524,-0.144379087,3.459728672,78.59772061,6.568914101,5.600953631,5.600953631,3.718744015,2.797877056,2.797877056,1.8324556,1.8324556,1.215925826,1.215925826,0.36785113,0.36785113,-0.53,53.47276361,7.47,3.469267037,1.958669538,49.83902893,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,13.8474744,6.420821623,0,13.02770359,9.531400138,5.969305288,0,0,5.917906046,20.26829602,7.109797541,0,0,0,0,0,0,0,13.07910283,9.531400138,5.917906046,20.26829602,0,0,0,0,26.3,0,4.794537184,0,11.88721133,0,6.420821623,7.109797541,0,13.8474744,4.736862954,0,4.463935185,0,10.52060185,0,0,-0.0625,0,0.853842593,3.812916667,1.411203704,0.833333333,8,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1.2055,31.471,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethyl 2-methylpropanoate,CCOC(=O)C(C)C,97-62-1,Biofuel,10.52060185,-0.118055556,10.52060185,0.009212963,0.506664867,116.16,104.064,116.0837296,48,0,0.307851069,-0.465780805,0.465780805,0.307851069,1.625,2.125,2.25,16.53264961,10.22531994,2.044027232,-2.013470742,1.933602134,-2.101408281,5.708663929,-0.146234443,3.329150037,76.59772061,6.568914101,5.600953631,5.600953631,3.680739213,2.847405879,2.847405879,1.906748834,1.906748834,0.758000987,0.758000987,0.308925565,0.308925565,-0.53,45.11498676,7.47,3.469267037,2.61092148,49.83902893,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,13.8474744,6.9237372,0,12.52478801,9.531400138,5.969305288,0,0,5.917906046,20.7712116,6.606881965,0,0,0,0,0,0,0,12.57618725,9.531400138,5.917906046,20.7712116,0,0,0,0,26.3,0,4.794537184,0,11.88721133,6.606881965,0,0,6.9237372,13.8474744,4.736862954,0,4.664351852,0,10.52060185,0,0,-0.108842593,0,0,5.923888889,0,0.833333333,8,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1.2055,31.471,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-propanol,CC(C)O,67-63-0,Biofuel,8.055555556,-0.166666667,8.055555556,0.166666667,0.428404794,60.096,52.032,60.05751488,26,0,0.048347612,-0.393706902,0.393706902,0.048347612,1.5,1.5,1.5,16.26364309,10.50360187,1.688226995,-1.79830148,1.645781103,-1.848436775,4.204004314,0.215624827,2.323790008,8,3.577350269,3.024563865,3.024563865,1.732050808,1.412899428,1.412899428,1.093748049,1.093748049,0,0,0,0,-0.04,3.245112498,3.96,1.297837838,1128.96,26.26336901,5.106527395,0,0,0,0,0,0,0,0,0,0,13.8474744,6.103966388,0,5.106527395,0,0,0,0,19.95144079,0,0,0,0,0,0,0,0,11.21049378,0,0,13.8474744,0,0,0,0,20.23,0,0,0,6.103966388,0,0,0,13.8474744,0,0,5.106527395,0,0,0,8.055555556,0,0,0,-0.166666667,3.444444444,0,1,4,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.3871,17.3548,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethanol,CCO,64-17-5,Biofuel,7.569444444,0.25,7.569444444,0.25,0.406807966,46.069,40.021,46.04186481,20,0,0.040220582,-0.396663715,0.396663715,0.040220582,2,2,2,16.24899133,10.90816804,1.340293519,-1.522358693,1.296242638,-1.568363547,3.835802336,0.318405613,1.632993162,2.754887502,2.707106781,2.154320377,2.154320377,1.414213562,1.023334547,1.023334547,0.316227766,0.316227766,0,0,0,0,-0.04,2.754887502,2.96,1.96,1.96,19.89842689,5.106527395,0,0,0,0,0,0,0,0,0,0,6.9237372,6.606881965,0,5.106527395,0,0,0,0,6.9237372,6.606881965,0,0,0,0,0,0,0,11.71340936,0,0,6.9237372,0,0,0,0,20.23,0,0,0,6.606881965,0,0,0,6.9237372,0,0,5.106527395,0,0,0,7.569444444,0,0,0,0,1.930555556,0,1,3,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-0.0014,12.7598,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl butanoate,CCCC(=O)OC,623-42-7,Biofuel,10.18958333,-0.122685185,10.18958333,0.122685185,0.485245074,102.133,92.053,102.0680796,42,0,0.304991219,-0.468995554,0.468995554,0.304991219,1.714285714,2.285714286,2.428571429,16.5229278,10.34677301,1.921625978,-1.905375589,1.86362396,-1.967764941,5.683969138,-0.140125006,3.002590529,59.10049401,5.698670613,4.730710143,4.730710143,3.308060412,2.377156753,2.377156753,1.326132613,1.326132613,0.681795046,0.681795046,0.306186218,0.306186218,-0.53,31.91663524,6.47,3.652815356,3.296334149,43.47408681,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,6.9237372,6.420821623,6.420821623,7.109797541,9.531400138,5.969305288,0,0,0,19.76538045,7.109797541,0,0,0,0,0,0,0,13.07910283,9.531400138,0,19.76538045,0,0,0,0,26.3,0,4.794537184,0,5.969305288,6.420821623,6.420821623,7.109797541,0,6.9237372,4.736862954,0,4.351666667,0,10.18958333,0,0,-0.122685185,0,1.405925926,1.941388889,1.400787037,0.8,7,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0.9595,26.924,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
