Name,Smile,CAS Number,Type
Methyl acetate,CC(=O)OC,79-20-9,Biofuel
O-Xylene,CC1=CC=CC=C1C,95-47-6,Biofuel
Ethyl acetate,CCOC(=O)C,141-78-6,Biofuel
Ethyl butyrate,CCCC(=O)OCC,105-54-4,Biofuel
Propylbenzene,CCCC1=CC=CC=C1,103-65-1,Biofuel
Methyl 2-methylbutanoate,CCC(C)C(=O)OC,868-57-5,Biofuel
Ethyl 2-methylpropanoate,CCOC(=O)C(C)C,97-62-1,Biofuel
2-propanol,CC(C)O,67-63-0,Biofuel
Ethanol,CCO,64-17-5,Biofuel
Methyl butanoate,CCCC(=O)OC,623-42-7,Biofuel
2-butanol,CCC(C)O,78-92-2,Biofuel
Ethylbenzene,CCC1=CC=CC=C1,100-41-4,Biofuel
2-Methyl-3-buten-2-ol ,CC(C)(C=C)O ,115-18-4,Biofuel
Sabinen,CC(C)C12CCC(=C)C1C2,3387-41-5,Biofuel
2-Pentanone,CCCC(=O)C,107-87-9,Biofuel
2-Butanone,CCC(=O)C,78-93-3,Biofuel
2-Methyl-1-propanol,CC(C)CO,78-83-1,Biofuel
Cyclopentanone,C1CCC(=O)C1,120-92-3,Biofuel
1-Propanol,CCCO,71-23-8,Biofuel
Anisole,COC1=CC=CC=C1 ,100-66-3,Biofuel
2-Methylfuran,CC1=CC=CO1,534-22-5,Biofuel
3-Pentanone,CCC(=O)CC,96-22-0,Biofuel
Isopropyl acetate,CC(C)OC(=O)C,108-21-4,Biofuel
Methyl isobutyrate,CC(C)C(=O)OC,547-63-7,Biofuel
4-Methyl-2-pentanol,CC(C)CC(C)O,108-11-2,Biofuel
"2,5-Dimethylfuran",CC1=CC=C(O1)C,625-86-5,Biofuel
2-Methyl-1-butanol,CCC(C)CO,137-32-6,Biofuel
Butyl acetate,CCCCOC(=O)C,123-86-4,Biofuel
Isoamyl acetate,CC(C)CCOC(=O)C,123-92-2,Biofuel
"2,4-Dimethyl-2-pentene",CC(C)C=C(C)C,625-65-0,Biofuel
"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,540-84-1,Biofuel
3-Methyl-2-butanone,CC(C)C(=O)C,563-80-4,Biofuel
2-Pentanol,CCCC(C)O,6032-29-7,Biofuel
1-Butanol,CCCCO,71-36-3,Biofuel
1-Butene,CCC=C,106-98-9,Biofuel
1-Heptene,CCCCCC=C,592-76-7,Biofuel
1-Hexene,CCCCC=C ,592-41-6,Biofuel
p-Menthane,CC1CCC(CC1)C(C)C,99-82-1,Biofuel
1-Octene,CCCCCCC=C,111-66-0,Biofuel
1-Pentene,CCCC=C,109-67-1,Biofuel
"1,1-Dimethylcyclohexane",CC1(CCCCC1)C,590-66-9,Biofuel
"1,1-Dimethylcyclopentane",CC1(CCCC1)C,1638-26-2,Biofuel
Cyclopentane,CC1CC(C(C1)(C)C)C,287-92-3,Biofuel
"1,3-Dimethylcyclopentane",CC1CCC(C1)C,2453-00-1,Biofuel
"1,4-Dimethylcyclohexane",CC1CCC(CC1)C,589-90-2,Biofuel
2-Butene,CC=CC,107-01-7,Biofuel
2-Ethyl-1-Butene,CCC(=C)CC,760-21-4,Biofuel
2-Ethyl-3-Methyl-1-Butene,CCC(=C)C(C)C,7357-93-9,Biofuel
2-Heptene,CCCCC=CC,592-77-8,Biofuel
