Name,Smile,CAS Number,Type,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Methyl acetate,CC(=O)OC,79-20-9,Biofuel,9.590277777777779,-0.24537037037037002,9.590277777777779,0.24537037037037002,0.38296659073251405,74.07900000000001,68.031,74.036779432,30,0,0.3018471669894446,-0.46919810705104836,0.46919810705104836,0.3018471669894446,1.8,2.0,2.0,16.522022615331466,10.833750311743813,1.752248095909371,-1.8043066100873448,1.5985862655729954,-1.8811948381223964,5.650646146969499,-0.1374500448790443,2.8473789230876716,40.1577218810798,4.284457050376173,3.3164965809277263,3.3164965809277263,2.270055610029662,1.3164965809277263,1.3164965809277263,0.695705769029128,0.695705769029128,0.2874574785652649,0.2874574785652649,0.0,0.0,-0.53,9.65148445440323,4.469999999999999,1.7581844380403455,3.469999999999999,30.74420258617341,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.923737199690624,7.109797541277533,9.53140013787187,5.969305287951849,0.0,0.0,0.0,6.923737199690624,7.109797541277533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.079102829229383,9.53140013787187,0.0,6.923737199690624,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,5.969305287951849,0.0,0.0,14.033534740968157,0.0,0.0,4.736862953800049,0.0,4.111111111111111,0.0,9.590277777777779,0.0,0.0,-0.24537037037037002,0.0,0.0,1.3611111111111112,1.349537037037037,0.6666666666666666,5,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0.17930000000000001,17.689999999999998,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O-Xylene,CC1=CC=CC=C1C,95-47-6,Biofuel,2.1203703703703702,1.3680555555555558,2.1203703703703702,1.3680555555555558,0.47575768534032103,106.16799999999999,96.08799999999998,106.07825032,42,0,-0.039511492179969666,-0.06198519188632999,0.06198519188632999,0.039511492179969666,0.875,1.25,1.5,13.895388335812484,10.131972178262572,1.8333702494943922,-1.930148756070286,2.0210545658514985,-1.7433360304648589,5.2277847976727765,1.342538972786028,3.134861511345448,156.14811391899892,5.983127663125442,5.309401076758503,5.309401076758503,3.804530452640311,2.827350269189626,2.827350269189626,2.084258916577523,2.084258916577523,1.425569668769133,1.425569668769133,0.6626779572375285,0.6626779572375285,-0.78,72.49526582754562,5.358504155124653,1.9937447122872558,0.8900073912094391,50.16128734829018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.26546827384644,24.974377382775238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,0.0,35.392371257240434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,11.126902983393991,24.26546827384644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.126902983393991,0.0,0.0,38.112942673227685,0.0,0.0,0.0,0.0,0.0,2.7361111111111116,0.0,8.356481481481481,0.0,4.2407407407407405,0.0,0.25,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2.30344,35.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethyl acetate,CCOC(=O)C,141-78-6,Biofuel,9.821527777777778,-0.21064814814814792,9.821527777777778,0.21064814814814792,0.43785087777866244,88.106,80.04199999999999,88.052429496,36,0,0.30211277772699074,-0.4661718899744166,0.4661718899744166,0.30211277772699074,1.8333333333333333,2.3333333333333335,2.3333333333333335,16.530890923521223,10.769902048584518,1.8115671919809486,-1.889767490050901,1.6913973775510132,-1.9485172088790033,5.652796097040713,-0.13988766123000762,2.831257109931365,49.50977500432694,4.99156383156272,4.023603362114274,4.023603362114274,2.770055610029662,1.9040302062452235,1.9040302062452235,0.9245943256894159,0.9245943256894159,0.3476006996936919,0.3476006996936919,0.20326313239628543,0.20326313239628543,-0.53,14.834466856136647,5.469999999999999,2.693713646532438,3.4699999999999998,37.10914470057002,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,6.923737199690624,6.923737199690624,6.606881964512918,9.53140013787187,5.969305287951849,0.0,0.0,0.0,13.847474399381248,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,0.0,13.847474399381248,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,5.969305287951849,6.606881964512918,0.0,6.923737199690624,6.923737199690624,0.0,4.736862953800049,0.0,4.402777777777778,0.0,9.821527777777778,0.0,0.0,-0.21064814814814792,0.0,0.0,3.6530092592592593,0.0,0.75,6,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0.5694,22.30699999999999,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethyl butyrate,CCCC(=O)OCC,105-54-4,Biofuel,10.420833333333334,-0.08796296296296258,10.420833333333334,0.08796296296296258,0.5200986676423002,116.15999999999998,104.06399999999998,116.083729624,48,0,0.30525680561770935,-0.46596933451826794,0.46596933451826794,0.30525680561770935,1.5,2.125,2.5,16.531780753058076,10.344073575299777,1.9483380321092465,-1.9580317754075427,1.8860988277265274,-2.0135856628199122,5.685956046736482,-0.14261528894795505,3.0551722039096187,60.92878689342031,6.405777393935816,5.437816924487368,5.437816924487368,3.808060412490447,2.9646903780250446,2.9646903780250446,1.5550211698203653,1.5550211698203653,0.7594493502441826,0.7594493502441826,0.43728056659547937,0.43728056659547937,-0.53,50.25226450504587,7.470000000000001,4.624559505409582,3.6528153564899446,49.83902892936323,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,6.923737199690624,13.344558822616634,6.4208216229260096,6.606881964512918,9.53140013787187,5.969305287951849,0.0,0.0,0.0,26.689117645233267,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,0.0,26.689117645233267,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,5.969305287951849,13.027703587438928,6.4208216229260096,0.0,0.0,13.847474399381248,4.736862953800049,0.0,4.6433333333333335,0.0,10.420833333333334,0.0,0.0,-0.08796296296296258,0.0,1.4232870370370372,4.267175925925926,0.0,0.8333333333333334,8,0,2,0,0,0,0,0,0,2,0,2,3,0,0,0,0,1.3496000000000001,31.540999999999983,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propylbenzene,CCCC1=CC=CC=C1,103-65-1,Biofuel,2.201388888888889,1.2091666666666667,2.201388888888889,1.2091666666666667,0.5624916701881997,120.19499999999995,108.09899999999998,120.093900384,48,0,-0.02814979848791882,-0.06506543814455573,0.06506543814455573,0.02814979848791882,1.1111111111111112,1.7777777777777777,2.3333333333333335,13.900305397606992,10.127691076689286,1.8402134192217525,-1.9326402453589753,1.9995132590300744,-1.7835841892779878,5.137484570569242,0.9218388682835006,2.61489994009295,152.9490957526401,6.52709773749546,5.800964908321225,5.800964908321225,4.431851652578137,3.471343774302781,3.471343774302781,2.2355985596534893,2.2355985596534893,1.381499796672302,1.381499796672302,0.9333523724371704,0.9333523724371704,-0.78,145.16653667335345,6.341654501216546,3.285913486196659,1.8835467848238945,56.526229462686786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.67639416492468,11.984273114623004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.765380445542643,0.0,35.89528683400505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,0.0,18.90801031431363,30.33183534230805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.405094737549014,0.0,0.0,37.255572541998674,0.0,0.0,0.0,0.0,0.0,1.4444444444444446,0.0,10.571574074074075,2.449259259259259,2.201388888888889,0.0,0.3333333333333333,9,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,2.639100000000001,40.43700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl 2-methylbutanoate,CCC(C)C(=O)OC,868-57-5,Biofuel,10.520601851851852,-0.11805555555555514,10.520601851851852,0.05555555555555536,0.506664866588942,116.15999999999998,104.06399999999998,116.083729624,48,0,0.3078565142353756,-0.4687995992104071,0.4687995992104071,0.3078565142353756,1.75,2.25,2.375,16.523877055782247,10.125363932786872,2.0768004766046113,-2.0227055962147413,2.0031131781565,-2.10234957225334,5.710824523976987,-0.1443790871062616,3.459728671545819,78.59772060569361,6.568914100752346,5.6009536313038994,5.6009536313038994,3.718744015013406,2.797877056362575,2.797877056362575,1.8324555997152512,1.8324555997152512,1.2159258262890684,1.2159258262890684,0.36785113019775795,0.36785113019775795,-0.53,53.47276361405894,7.470000000000001,3.4692670369115906,1.958669537588103,49.83902892936323,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,13.847474399381248,6.4208216229260096,0.0,13.027703587438927,9.53140013787187,5.969305287951849,0.0,0.0,5.917906046161393,20.268296022307258,7.109797541277533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.079102829229383,9.53140013787187,5.917906046161393,20.268296022307258,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,11.887211334113243,0.0,6.4208216229260096,7.109797541277533,0.0,13.847474399381248,4.736862953800049,0.0,4.463935185185186,0.0,10.520601851851852,0.0,0.0,-0.06249999999999978,0.0,0.8538425925925925,3.8129166666666667,1.4112037037037037,0.8333333333333334,8,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1.2055,31.470999999999982,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethyl 2-methylpropanoate,CCOC(=O)C(C)C,97-62-1,Biofuel,10.520601851851852,-0.11805555555555514,10.520601851851852,0.0092129629629627,0.506664866588942,116.15999999999998,104.06399999999998,116.083729624,48,0,0.30785106891033664,-0.465780805159007,0.465780805159007,0.30785106891033664,1.625,2.125,2.25,16.5326496091913,10.22531993738157,2.044027231787282,-2.01347074191817,1.9336021335169766,-2.1014082811311785,5.708663929342171,-0.14623444274909264,3.329150037184473,76.59772060569361,6.568914100752346,5.6009536313038994,5.6009536313038994,3.6807392125526213,2.847405879219288,2.847405879219288,1.9067488340003202,1.9067488340003202,0.7580009865206505,0.7580009865206505,0.3089255650988791,0.3089255650988791,-0.53,45.11498676384928,7.470000000000001,3.4692670369115906,2.610921480426842,49.83902892936323,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,13.847474399381248,6.923737199690624,0.0,12.52478801067431,9.53140013787187,5.969305287951849,0.0,0.0,5.917906046161393,20.771211599071872,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,5.917906046161393,20.771211599071872,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,11.887211334113243,6.606881964512918,0.0,0.0,6.923737199690624,13.847474399381248,4.736862953800049,0.0,4.664351851851852,0.0,10.520601851851852,0.0,0.0,-0.10884259259259244,0.0,0.0,5.923888888888889,0.0,0.8333333333333334,8,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1.2055,31.470999999999982,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-propanol,CC(C)O,67-63-0,Biofuel,8.055555555555555,-0.16666666666666674,8.055555555555555,0.16666666666666674,0.42840479403162834,60.096000000000004,52.032000000000004,60.057514876,26,0,0.04834761180869219,-0.3937069016405105,0.3937069016405105,0.04834761180869219,1.5,1.5,1.5,16.26364309024246,10.503601865317728,1.6882269952162394,-1.7983014802258805,1.64578110289585,-1.848436775374454,4.204004313602449,0.21562482738807573,2.3237900077244498,8.0,3.5773502691896257,3.0245638646895836,3.0245638646895836,1.7320508075688772,1.412899428126413,1.412899428126413,1.0937480486839481,1.0937480486839481,0.0,0.0,0.0,0.0,-0.04,3.2451124978365313,3.9600000000000004,1.297837837837838,1128.9599999999998,26.263369008818774,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,6.103966387748303,0.0,5.106527394840706,0.0,0.0,0.0,0.0,19.95144078712955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.210493782589008,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,6.103966387748303,0.0,0.0,0.0,13.847474399381248,0.0,0.0,5.106527394840706,0.0,0.0,0.0,8.055555555555555,0.0,0.0,0.0,-0.16666666666666674,3.4444444444444446,0.0,1.0,4,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.38710000000000006,17.354800000000004,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethanol,CCO,64-17-5,Biofuel,7.569444444444445,0.25,7.569444444444445,0.25,0.40680796565539457,46.069,40.021,46.041864812,20,0,0.04022058174908642,-0.3966637147812598,0.3966637147812598,0.04022058174908642,2.0,2.0,2.0,16.248991329327914,10.908168035086371,1.3402935186707783,-1.52235869276019,1.2962426382141046,-1.5683635470355741,3.835802335589486,0.3184056131739115,1.6329931618554523,2.7548875021634682,2.7071067811865475,2.1543203766865053,2.1543203766865053,1.4142135623730951,1.0233345472033855,1.0233345472033855,0.3162277660168379,0.3162277660168379,0.0,0.0,0.0,0.0,-0.04,2.7548875021634682,2.9600000000000004,1.96,1.9600000000000033,19.89842689442217,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.606881964512918,0.0,5.106527394840706,0.0,0.0,0.0,0.0,6.923737199690624,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.713409359353623,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,6.606881964512918,0.0,0.0,0.0,6.923737199690624,0.0,0.0,5.106527394840706,0.0,0.0,0.0,7.569444444444445,0.0,0.0,0.0,0.0,1.9305555555555556,0.0,1.0,3,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-0.0014000000000000123,12.759800000000002,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl butanoate,CCCC(=O)OC,623-42-7,Biofuel,10.189583333333333,-0.1226851851851849,10.189583333333333,0.1226851851851849,0.485245073645189,102.13299999999998,92.05299999999998,102.06807956,42,0,0.30499121879740626,-0.46899555445129654,0.46899555445129654,0.30499121879740626,1.7142857142857142,2.2857142857142856,2.4285714285714284,16.522927795707158,10.346773011787448,1.9216259777301299,-1.9053755893724298,1.8636239604227558,-1.967764940986358,5.683969138452378,-0.14012500645099385,3.002590528674132,59.10049400592805,5.698670612749268,4.730710143300821,4.730710143300821,3.308060412490447,2.3771567527075472,2.3771567527075472,1.3261326131600775,1.3261326131600775,0.6817950458626713,0.6817950458626713,0.30618621784789724,0.30618621784789724,-0.53,31.916635235956914,6.47,3.6528153564899446,3.2963341491124023,43.47408681496663,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,6.923737199690624,6.4208216229260096,6.4208216229260096,7.109797541277533,9.53140013787187,5.969305287951849,0.0,0.0,0.0,19.765380445542643,7.109797541277533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.079102829229383,9.53140013787187,0.0,19.765380445542643,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,5.969305287951849,6.4208216229260096,6.4208216229260096,7.109797541277533,0.0,6.923737199690624,4.736862953800049,0.0,4.351666666666667,0.0,10.189583333333333,0.0,0.0,-0.1226851851851849,0.0,1.405925925925926,1.9413888888888888,1.400787037037037,0.8,7,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0.9595,26.923999999999985,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
